senderID,amount,transactionDate,hasMemo,receiverID,senderAcctTenure,receiverAcctTenure,transactionType,transactionDistance,fraud
26283,44.68,20220427,0,90719,652,166,Bill,22.4,0
83012,34.77,20220917,0,90612,918,641,Personal,6.32,1
80936,11.64,20221012,1,91863,980,941,Gift,,1
27134,22.18,20221124,0,90232,817,320,Gift,35.1,0
42105,196.45,20220607,0,98022,986,517,Gift,4.66,0
50424,32.11,20220906,1,91807,93,773,Gift,19.53,0
80154,41.45,20221028,0,97339,281,951,Gift,5.36,0
70780,47.85,20220123,0,92796,800,725,Bill,1.86,0
62627,99.61,20221023,0,91224,808,996,Bill,42.9,0
21959,61.81,20220715,1,90864,49,1077,Bill,8.65,0
32612,75.31,20220503,1,90873,549,491,Personal,11.71,1
58567,118.51,20220628,1,96698,491,476,Personal,13.56,0
85119,109.67,20221019,0,93916,103,1071,Bill,5.51,0
74400,103.39,20220406,0,95636,1077,183,Bill,26.81,0
21959,87.97,20220925,0,95965,49,618,Bill,11.45,0
23728,32.77,20220702,1,94715,699,224,Bill,6.19,0
57647,143.15,20220705,1,99491,618,986,Bill,14.89,0
57855,14.59,20220422,1,98804,677,602,Bill,6.98,0
83012,19.81,20220809,0,96502,918,666,Gift,3.35,0
55608,26.33,20221123,0,94512,794,1093,,44.44,0
77775,12.72,20220914,0,98804,850,602,,5.26,0
88796,71.55,20220428,0,94958,414,1045,Bill,16.56,0
87861,182.18,20220129,1,93806,341,788,Gift,2.1,1
22586,65.82,20221021,0,94715,218,224,Personal,28.94,0
58567,75.23,20221019,1,95537,491,488,Bill,4.23,0
47888,53.07,20220108,0,99111,943,819,Personal,4.18,0
69603,119.15,20221230,0,98099,147,320,Gift,29.25,0
64623,32.11,20220127,1,95613,887,99,Bill,26.9,1
82008,21.2,20220321,0,97662,204,412,Bill,31.07,0
12959,32.66,20221126,1,91830,881,887,Bill,1.07,0
54808,15.09,20220618,1,98658,841,434,Personal,0.53,1
75914,13.81,20220103,0,92364,383,342,Gift,4.45,0
81371,120.67,20221008,0,94567,819,918,Bill,2.03,0
19658,129.37,20220503,0,94260,527,354,Personal,20.56,0
47888,42.91,20221210,0,92702,943,399,Bill,9.19,0
69190,153.03,20220912,0,98243,805,303,Personal,19.55,0
63222,41.4,20220923,1,97662,885,412,Gift,3,0
61736,5.19,20220109,1,98022,648,517,Bill,14.65,0
30264,156.6,20220214,0,95511,903,158,Gift,24.85,0
77586,117.29,20220504,0,90864,140,1077,Personal,6.35,0
15330,97.13,20220125,1,99277,193,829,Gift,19.95,0
81613,59.14,20220504,0,90244,597,281,Bill,31.11,0
20391,30.26,20220106,0,91224,549,996,Personal,8.57,0
11329,68.31,20220901,0,94567,381,918,Personal,17.95,0
65918,29.4,20220203,1,95206,925,781,Bill,24.89,0
75951,95.86,20220214,1,91017,751,595,Bill,17.05,0
34149,41.19,20220720,0,96698,428,476,Bill,30.99,0
86899,13.23,20220829,0,99329,1006,526,Personal,14.13,0
40771,104.79,20221218,1,92702,1033,399,Bill,0.3,0
43792,195.31,20220511,0,97673,943,152,Bill,10.94,0
87575,45.9,20220611,1,92952,624,157,,5.12,1
29627,5.49,20221021,0,91533,71,671,Personal,17.22,0
